index,kind,channel,wa_GHz,wb_GHz,w_snail_GHz,spec_GHz,detuning_GHz,w_p_GHz,lam_spec,drag,drag_applied,drag_compare_window,eta_peak,g_iswap_eff_MHz,nearest_beat_GHz,nearest_kind,nearest_target,g_collision_MHz,status,F_avg,leakage,F_avg_drag,leakage_drag,dF_drag,n_spec,n_coupler,p_transfer,t_g_ns,wall_s
0,target,qubit_qubit,3.5,3.7,4.7,3.75,0.2,0.2,0.2,False,False,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.5351112049698992,0.15575487253085463,0.5329618945998253,0.15649221135128322,-0.0021493103700738203,0.0004046617931744542,0.005656870450568923,0.8095694611593561,500.0,1099.5128495693207
1,target,qubit_qubit,3.5,3.7,4.7,3.85,0.2,0.2,0.2,False,True,True,0.27778,1.0,-0.05,onepump,b,2.0,drag_compare,0.6002982196614466,0.11988689235615269,0.6007791325144974,0.11982500731101764,0.0004809128530508522,3.1288020282649484e-05,0.003802639888294218,0.8748599256639578,500.0,1112.761913061142
2,target,qubit_qubit,3.5,3.7,4.7,3.95,0.2,0.2,0.2,False,True,True,0.27778,1.0,0.05,onepump,b,2.0,drag_compare,0.5822600468123751,0.12941660956259082,0.5847427513800469,0.1282331567055679,0.002482704567671856,2.7983523499238824e-05,0.0013263969493940244,0.861523717390995,500.0,2406.076057434082
3,target,qubit_qubit,3.5,3.7,4.7,4.05,0.2,0.2,0.2,False,False,False,0.27778,1.0,0.15,onepump,b,2.0,ok,0.600418828883447,0.11944789636765374,,,,0.00011501996656840208,0.0015394159676179195,0.8782098602155949,500.0,1029.6349654197693
4,target,qubit_qubit,3.5,3.7,4.7,4.15,0.2,0.2,0.2,False,False,False,0.27778,1.0,0.25,onepump,b,2.0,ok,0.6041715079754588,0.11659690231344921,,,,0.0003999194979165719,0.006606576428558948,0.8793300581570064,500.0,1042.809327840805
5,target,qubit_qubit,3.5,3.7,4.7,4.25,0.2,0.2,0.2,False,False,False,0.27778,1.0,0.35,onepump,b,2.0,ok,0.6093796601411665,0.11448600042639512,,,,0.0010023215076132544,0.004110882570344115,0.8835165559474358,500.0,1034.6060950756073
6,target,qubit_qubit,3.5,3.7,4.7,5.25,0.2,0.2,0.2,False,False,False,0.27778,1.0,1.35,onepump,b,2.0,ok,0.6207243640266811,0.10735687078580869,,,,0.0003317128566946831,0.0075413231830639285,0.892376751831355,500.0,1103.2331686019897
7,target,qubit_qubit,3.5,3.7,4.7,5.35,0.2,0.2,0.2,False,False,False,0.27778,1.0,1.45,onepump,b,2.0,ok,0.6215980371666847,0.10720132579344643,,,,0.0002228292144194799,0.006603290951079039,0.8936988145008947,500.0,1120.5680985450745
8,target,qubit_qubit,3.5,3.7,4.7,5.45,0.2,0.2,0.2,False,False,False,0.27778,1.0,1.55,onepump,b,2.0,ok,0.6221004979883018,0.10689695671392396,,,,0.00015243803570043617,0.0047455856516333775,0.8951837717567247,500.0,1075.5524773597717
9,target,qubit_qubit,3.5,3.7,4.7,5.55,0.2,0.2,0.2,False,False,False,0.27778,1.0,1.65,onepump,b,2.0,ok,0.6223279870721952,0.10673011777584307,,,,0.00012310747475418,0.004396921045385418,0.8962101710006883,500.0,1092.7566621303558
